x, y, z
-4147894.9008558444, 2866513.343421148, -3893926.862294756
-4147895.279860589, 2866513.6053424804, -3893926.2717353213
-4147895.887735074, 2866512.7028985904, -3893926.2616399787
-4147895.5008178316, 2866512.435509239, -3893926.8447213788
-4147895.4344854546, 2866513.7122001154, -3893924.9800048056
-4147895.9457154013, 2866511.6513186092, -3893926.7826537094
-4147896.17754881, 2866511.811533131, -3893926.0530029037
-4147896.0000283914, 2866512.780501845, -3893924.929902007
-4147895.802362691, 2866513.966431487, -3893923.892765265
-4147896.3508939217, 2866513.022976711, -3893923.8265847177
-4147896.4714326947, 2866512.014629253, -3893924.89288576
-4147897.033829969, 2866511.311639725, -3893924.941866854
-4147897.349283733, 2866510.435751968, -3893926.194337697
-4147897.0054891724, 2866510.1981639536, -3893926.8181743636
-4147897.578285655, 2866510.594009597, -3893924.9729006775
-4147898.1992347934, 2866509.9314837665, -3893925.077219191
-4147897.8274131855, 2866509.6745270425, -3893926.1636777683
-4147897.4792667413, 2866509.4339316394, -3893926.7834015125
-4147897.5674215155, 2866511.6803919366, -3893922.5763241844
-4147897.818772689, 2866510.760204306, -3893923.7652648888
-4147896.7835272825, 2866512.2303103562, -3893923.7529261424
-4147897.0050241617, 2866512.3833815497, -3893922.527343113
-4147896.7345959055, 2866513.288144073, -3893922.754301209
-4147896.411292549, 2866514.1586075583, -3893922.932278233
-4147896.30593815, 2866514.3144407314, -3893922.9337738384
-4147896.9900360983, 2866514.5585636836, -3893922.044327948
-4147897.3066139203, 2866513.6834521885, -3893921.8599946443
-4147897.98356442, 2866511.9679782325, -3893921.5347005776
-4147898.040269624, 2866510.9132754216, -3893922.539681856
-4147898.3491243464, 2866510.0350687318, -3893923.7839599587
-4147899.396684579, 2866508.57347312, -3893925.2428575475
-4147899.4858026733, 2866506.451764391, -3893926.748628661
-4147899.933365812, 2866507.852711724, -3893925.2675350457
-4147899.5398486103, 2866508.672410168, -3893923.9432419534
-4147899.689737974, 2866508.775994924, -3893922.649982743
-4147898.531454689, 2866510.1610727254, -3893922.5213606916
-4147898.603406117, 2866510.210796579, -3893921.154443031
-4147898.31992283, 2866511.106536914, -3893921.3690623343
-4147898.1241236283, 2866513.1567644174, -3893920.7122161305
-4147898.3684406825, 2866512.233956908, -3893920.4605806633
-4147898.444875132, 2866511.192888395, -3893920.0492894095
-4147897.263031123, 2866513.6533331485, -3893920.3809397207
-4147896.547547176, 2866514.4814110897, -3893920.2893339414
-4147896.883099195, 2866514.7133032572, -3893922.044327948
-4147898.0338694155, 2866513.0943918903, -3893919.191999014
-4147897.744398691, 2866513.9859948847, -3893917.9660421237
-4147897.009529147, 2866514.800676046, -3893917.8561152387
-4147898.485888238, 2866512.315122073, -3893919.136661658
-4147899.124376575, 2866510.570826387, -3893920.208945196
-4147899.407319876, 2866511.8580104243, -3893918.0890555424
-4147899.2437407523, 2866509.5616674144, -3893921.277082633
-4147899.6058141356, 2866508.7179972776, -3893921.13574797
